,chicago,double_peak,beta,monsoon,convective,skewed
Max 5-min Avg,5.19,5.32,7.47,7.49,10.56,4.16
Max 10-min Avg,5.1,5.12,7.29,6.63,10.41,4.06
Max 15-min Avg,4.96,5.06,6.66,5.66,8.48,4.08
Max 30-min Avg,4.32,4.52,4.97,4.13,5.22,3.58
Max 60-min Avg,2.62,2.62,2.62,2.62,2.62,2.62
