,chicago,double_peak,beta,monsoon,convective,skewed
Max 5-min Avg,142.34,65.19,98.04,101.85,198.07,106.78
Max 10-min Avg,129.67,60.44,93.85,86.77,157.85,94.79
Max 15-min Avg,115.55,56.91,90.44,73.95,135.47,89.82
Max 30-min Avg,72.04,51.34,69.19,55.98,72.92,66.94
Max 60-min Avg,36.49,36.49,36.49,36.49,36.49,36.49
