,chicago,double_peak,beta,monsoon,convective,skewed
Max 5-min Avg,95.82,45.45,60.61,73.95,138.07,36.99
Max 10-min Avg,89.29,45.39,58.09,64.22,134.71,36.6
Max 15-min Avg,78.1,42.44,56.43,54.54,94.67,36.38
Max 30-min Avg,49.05,33.21,45.1,40.59,49.48,34.37
Max 60-min Avg,24.74,24.74,24.74,24.74,24.74,24.74
